report_date,district,active_cases,cumulative_faculty_staff_cases,cumulative_student_cases,cumulative_total,PRIVATE SCHOOL,Private Active Cases,Private Cumulative Faculty/Staff Cases,Private Cumulative Student Cases,Private Cumulative Total,COLLEGE/UNIVERSITY,Uni Active Cases,Uni Cumulative Faculty/Staff Cases,Uni Cumulative Student Cases,Uni Cumulative Total,Totals among schools with less than 5 active cases.,<5 Cumulative Active Cases,<5 Cumulative Faculty/Staff Cases,<5 Cumulative Student Cases,<5 Cumulative Total,Totals for all schools.,Cumulative Active Cases,Cumulative Faculty/Staff Cases,Cumulative Student Cases,Cumulative Total
3/4/2021,BENTONVILLE SCHOOL DIST,37,332,915,"1,351","LITTLE ROCK CHRISTIAN ACADEMY, LITTLE ROCK",5,20,61,84,"U OF A, FAYETTEVILLE",31,269,"2,780","3,659",PUBLIC SCHOOL DISTRICTS,207,"7,838","17,326","26,478",PUBLIC SCHOOL DISTRICTS,461,"11,600","28,286","42,161"
3/4/2021,SPRINGDALE SCHOOL DIST,25,400,"1,558","2,132",TOTAL,5,20,61,84,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",25,47,282,365,PRIVATE SCHOOLS,23,607,"1,489","2,198",PRIVATE SCHOOLS,28,627,"1,550","2,282"
3/4/2021,ROGERS SCHOOL DIST,18,297,"1,090","1,486",,,,,,"OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",11,40,187,286,COLLEGES/UNIVERSITIES,62,"1,100","4,516","6,532",COLLEGES/UNIVERSITIES,172,"1,870","10,078","13,857"
3/4/2021,CABOT SCHOOL DIST,15,207,531,803,,,,,,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",10,77,558,760,,,,,,,,,,
3/4/2021,LAKE HAMILTON SCHOOL DIST,12,100,292,407,,,,,,"HARDING UNIVERSITY, SEARCY",10,85,392,604,,,,,,,,,,
3/4/2021,LITTLE ROCK SCHOOL DIST,11,343,919,"1,330",,,,,,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",8,97,700,903,,,,,,,,,,
3/4/2021,PULASKI COUNTY SPECIAL SCHOOL DIST,11,233,509,805,,,,,,"U OF A, PINE BLUFF",7,43,195,264,,,,,,,,,,
3/4/2021,FAYETTEVILLE SCHOOL DIST,10,93,513,606,,,,,,"U OF A, LITTLE ROCK",7,58,273,383,,,,,,,,,,
3/4/2021,BRYANT SCHOOL DIST,9,170,555,769,,,,,,"ARKANSAS STATE UNIVERSITY, JONESBORO",5,147,810,960,,,,,,,,,,
3/4/2021,EL DORADO SCHOOL DIST,9,91,200,303,,,,,,TOTAL,114,863,"6,177","8,184",,,,,,,,,,
3/4/2021,NORTH LITTLE ROCK SCHOOL DIST,9,145,330,515,,,,,,,,,,,,,,,,,,,,
3/4/2021,RUSSELLVILLE SCHOOL DIST,9,137,369,523,,,,,,,,,,,,,,,,,,,,
3/4/2021,FORT SMITH SCHOOL DIST,8,332,808,"1,212",,,,,,,,,,,,,,,,,,,,
3/4/2021,BENTON SCHOOL DIST,7,109,338,469,,,,,,,,,,,,,,,,,,,,
3/4/2021,CONWAY SCHOOL DIST,7,167,613,819,,,,,,,,,,,,,,,,,,,,
3/4/2021,MCGEHEE SCHOOL DIST,7,39,78,128,,,,,,,,,,,,,,,,,,,,
3/4/2021,SHERIDAN SCHOOL DIST,7,77,199,303,,,,,,,,,,,,,,,,,,,,
3/4/2021,CLARKSVILLE SCHOOL DIST,6,87,143,237,,,,,,,,,,,,,,,,,,,,
3/4/2021,FARMINGTON SCHOOL DIST,6,43,173,235,,,,,,,,,,,,,,,,,,,,
3/4/2021,TEXARKANA SCHOOL DIST,6,86,116,211,,,,,,,,,,,,,,,,,,,,
3/4/2021,DIERKS SCHOOL DIST,5,14,34,48,,,,,,,,,,,,,,,,,,,,
3/4/2021,GREENWOOD SCHOOL DIST,5,85,244,346,,,,,,,,,,,,,,,,,,,,
3/4/2021,HAMBURG SCHOOL DIST,5,50,93,150,,,,,,,,,,,,,,,,,,,,
3/4/2021,LAKESIDE SCHOOL DIST(GARLAND),5,63,216,306,,,,,,,,,,,,,,,,,,,,
3/4/2021,PINE BLUFF SCHOOL DIST,5,62,124,189,,,,,,,,,,,,,,,,,,,,
3/4/2021,TOTAL,254,"3,762","10,960","15,683",,,,,,,,,,,,,,,,,,,,
3/1/2021,BENTONVILLE SCHOOL DIST,34,328,903,"1,334","LITTLE ROCK CHRISTIAN ACADEMY, LITTLE ROCK",5,20,60,83,"U OF A, FAYETTEVILLE",34,268,"2,773","3,652",PUBLIC SCHOOL DISTRICTS,207,"8,022","17,915","27,282",PUBLIC SCHOOL DISTRICTS,446,"11,560","28,174","41,995"
3/1/2021,SPRINGDALE SCHOOL DIST,20,398,"1,550","2,121",TOTAL,5,20,60,83,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",28,47,281,363,PRIVATE SCHOOLS,22,605,"1,258","2,186",PRIVATE SCHOOLS,27,625,"1,539","2,269"
