district,District Enrollment,District % Gifted and Talented,District % Special Education,District % Homeless,District % LEP,District % FRL,District % White,District % Hispanic,District % Black,District % Other Races,District Overall % Minority,Region,Is Open Enrollment Charter,District LEA
Alma ,"3,250",6%,14%,3%,1%,56%,85%,4%,1%,9%,15%,1,0,1701000
Alpena ,473,7%,19%,10%,3%,65%,94%,5%,1%,1%,6%,1,0,501000
Ark. School for the Blind,85,14%,100%,0%,4%,45%,59%,5%,27%,9%,41%,3,0,6091000
Ark. School for the Deaf,100,NA,99%,0%,0%,70%,52%,12%,29%,7%,48%,3,0,6092000
Arkadelphia ,"1,786",9%,15%,1%,1%,52%,50%,7%,37%,6%,50%,4,0,1002000
Armorel ,406,9%,15%,0%,4%,40%,83%,7%,8%,2%,17%,2,0,4701000
Ashdown ,"1,348",8%,14%,3%,1%,68%,64%,5%,25%,7%,36%,4,0,4101000
Atkins ,931,8%,19%,2%,1%,65%,93%,3%,2%,2%,7%,1,0,5801000
Augusta ,330,11%,18%,6%,0%,87%,39%,1%,54%,6%,61%,2,0,7401000
Bald Knob ,"1,151",9%,14%,3%,2%,61%,87%,6%,1%,5%,13%,2,0,7301000
Barton ,696,9%,14%,1%,1%,86%,63%,3%,32%,3%,37%,5,0,5401000
Batesville ,"3,059",7%,13%,2%,16%,54%,64%,26%,6%,4%,36%,2,0,3201000
Bauxite ,"1,594",6%,11%,0%,1%,36%,91%,4%,3%,2%,9%,3,0,6301000
Bay ,592,7%,21%,4%,0%,64%,93%,2%,4%,1%,7%,2,0,1601000
Bearden ,488,15%,11%,1%,0%,72%,52%,4%,39%,5%,48%,4,0,5201000
Beebe ,"3,180",7%,14%,0%,2%,56%,86%,5%,4%,5%,14%,2,0,7302000
Benton ,"5,422",11%,10%,0%,5%,35%,76%,9%,9%,5%,24%,3,0,6302000
Bentonville ,"17,970",6%,11%,2%,4%,20%,71%,12%,3%,14%,29%,1,0,401000
Bergman ,"1,052",6%,12%,1%,0%,64%,95%,2%,1%,1%,5%,1,0,502000
Berryville ,"1,832",8%,17%,11%,17%,70%,64%,27%,0%,8%,36%,1,0,801000
Bismarck ,937,8%,14%,6%,2%,54%,90%,7%,1%,2%,10%,3,0,3001000
Blevins ,458,9%,11%,6%,7%,83%,67%,14%,14%,5%,33%,4,0,2901000
Blytheville ,"1,716",8%,13%,13%,3%,80%,13%,4%,82%,2%,87%,2,0,4702000
Booneville ,"1,158",14%,13%,7%,1%,72%,88%,5%,0%,6%,12%,1,0,4201000
Bradford ,425,14%,20%,17%,0%,78%,96%,2%,2%,0%,4%,2,0,7303000
Brinkley ,426,8%,20%,6%,0%,79%,25%,1%,70%,3%,75%,5,0,4801000
Brookland ,"2,757",6%,15%,2%,1%,34%,90%,4%,3%,2%,10%,2,0,1603000
Bryant ,"9,214",10%,13%,0%,9%,46%,62%,15%,18%,4%,38%,3,0,6303000
Buffalo Is. Central ,730,9%,15%,0%,12%,64%,79%,20%,0%,1%,21%,2,0,1605000
Cabot ,"10,171",11%,14%,1%,2%,43%,83%,7%,3%,8%,17%,3,0,4304000
Caddo Hills ,550,11%,16%,12%,3%,76%,82%,15%,0%,3%,18%,4,0,4901000
Calico Rock ,362,17%,13%,4%,0%,77%,97%,1%,0%,2%,3%,2,0,3301000
Camden Fairview ,"2,229",6%,11%,2%,2%,78%,29%,3%,63%,5%,71%,4,0,5204000
Carlisle ,625,11%,13%,3%,4%,63%,81%,5%,11%,2%,19%,3,0,4303000
Cave City ,"1,172",10%,13%,3%,2%,77%,92%,4%,2%,2%,8%,2,0,6802000
Cedar Ridge ,685,16%,16%,6%,1%,71%,92%,5%,2%,1%,8%,2,0,3212000
Cedarville ,743,11%,19%,2%,0%,72%,85%,2%,0%,13%,15%,1,0,1702000
Centerpoint ,979,6%,17%,3%,12%,72%,77%,21%,0%,2%,23%,4,0,5502000
Charleston ,820,8%,13%,0%,0%,54%,92%,3%,1%,5%,8%,1,0,2402000
Clarendon ,448,8%,22%,0%,3%,92%,31%,7%,53%,9%,69%,5,0,4802000
Clarksville ,"2,436",4%,15%,2%,26%,71%,50%,36%,1%,13%,50%,1,0,3601000
Cleveland County ,692,11%,16%,3%,1%,59%,71%,2%,25%,2%,29%,5,0,1305000
Clinton ,"1,238",10%,16%,18%,3%,69%,91%,7%,0%,2%,9%,1,0,7102000
Concord ,409,6%,18%,3%,0%,70%,97%,2%,0%,1%,3%,2,0,1201000
Conway ,"9,849",8%,13%,1%,6%,54%,53%,11%,29%,7%,47%,3,0,2301000
Corning ,818,9%,14%,1%,0%,72%,97%,2%,0%,0%,3%,2,0,1101000
Cossatot River ,906,9%,14%,0%,16%,76%,64%,28%,0%,8%,36%,4,0,5707000
Cotter ,743,4%,12%,4%,0%,69%,96%,2%,0%,2%,4%,1,0,302000
County Line ,495,8%,15%,9%,1%,74%,89%,2%,1%,7%,11%,1,0,2403000
Cross County ,607,NA,14%,11%,0%,73%,91%,3%,5%,1%,9%,2,0,1901000
Crossett ,"1,569",9%,12%,0%,2%,60%,61%,3%,33%,3%,39%,5,0,201000
Cutter-Morning Star ,634,12%,14%,1%,4%,71%,76%,12%,2%,10%,24%,3,0,2601000
Danville ,771,12%,16%,1%,21%,82%,44%,51%,1%,4%,56%,1,0,7503000
Dardanelle ,"2,075",5%,15%,3%,19%,71%,61%,33%,2%,3%,39%,1,0,7504000
Decatur ,537,10%,15%,10%,30%,79%,47%,38%,1%,14%,53%,1,0,402000
Deer/Mt. Judea ,399,5%,10%,0%,0%,73%,96%,1%,0%,3%,4%,1,0,5106000
DeQueen ,"2,295",5%,8%,3%,38%,74%,28%,61%,2%,8%,72%,4,0,6701000
Dermott ,367,5%,16%,0%,0%,94%,4%,2%,94%,1%,96%,5,0,901000
Des Arc ,557,11%,13%,4%,0%,64%,88%,2%,9%,1%,12%,5,0,5901000
Dewitt ,"1,154",11%,12%,1%,3%,60%,80%,5%,12%,4%,20%,5,0,101000
Dierks ,504,8%,14%,4%,4%,78%,90%,7%,1%,2%,10%,4,0,3102000
Division of Youth Services School System,124,NA,35%,0%,0%,100%,47%,8%,41%,4%,53%,3,0,6094000
Dollarway ,907,7%,14%,0%,2%,93%,4%,2%,92%,2%,96%,3,0,3502000
Dover ,"1,224",9%,16%,1%,2%,67%,93%,4%,0%,3%,7%,1,0,5802000
Drew Central ,"1,109",10%,16%,1%,3%,74%,64%,6%,27%,3%,36%,5,0,2202000
Dumas ,"1,084",9%,13%,2%,7%,80%,18%,12%,68%,2%,82%,5,0,2104000
Earle ,430,11%,16%,0%,0%,95%,2%,1%,96%,2%,98%,2,0,1802000
